species_superorder,isGaleomorphi,marine_province,date,year
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1966
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Northwest Atlantic shelves,1966-2001,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1992
Galeomorphii,1,Brazilian current coast,1992-2000,1995
Galeomorphii,1,Brazilian current coast,1992-2000,1995
Galeomorphii,1,Brazilian current coast,1992-2000,2000
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2014
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Brazilian current coast,1992-2000,2008
Galeomorphii,1,Kuroshio current,1995-1996,2008
Galeomorphii,1,Kuroshio current,1995-1996,2008
Galeomorphii,1,Caribbean,2000,2008
Galeomorphii,1,Brazilian current coast,2008,2008
Galeomorphii,1,Brazilian current coast,2008,2008
Galeomorphii,1,Caribbean,2014,2008
Galeomorphii,1,Eastern India coast,2008-2010,1992
Galeomorphii,1,Eastern India coast,2008-2010,1992
Galeomorphii,1,Eastern India coast,2008-2010,1992
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Eastern India coast,2008-2010,2003
Galeomorphii,1,Mediterranean Sea,1998-2000,2003
Galeomorphii,1,Mediterranean Sea,1998-2000,2003
Galeomorphii,1,Mediterranean Sea,1998-2000,2003
