species_superorder,isGaleomorphi,species_name,marine_province,lat,long,date,year
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Northwest Atlantic shelves,,,1966-2001,1966
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Prionace glauca,Brazilian current coast,,,1992-2000,1992
Galeomorphii,1,Mitsukurina owstoni,Kuroshio current,,,1995-1996,1995
Galeomorphii,1,Mitsukurina owstoni,Kuroshio current,,,1995-1996,1995
Galeomorphii,1,Mitsukurina owstoni,Caribbean,,,2000,2000
Galeomorphii,1,Mitsukurina owstoni,Brazilian current coast,,,2008,2008
Galeomorphii,1,Mitsukurina owstoni,Brazilian current coast,,,2008,2008
Galeomorphii,1,Mitsukurina owstoni,Caribbean,,,2014,2014
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Eastern India coast,,,2008-2010,2008
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,,
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Prionace glauca,Mediterranean Sea,,,1998-2000,1998
Galeomorphii,1,Cephalurus cephalus,California current,,,2017,2017
Galeomorphii,1,Cephalurus cephalus,California current,,,2017,2017
Galeomorphii,1,Cephalurus cephalus,California current,,,2017,2017
Galeomorphii,1,Cephalurus cephalus,California current,,,2017,2017
Galeomorphii,1,Cephalurus cephalus,California current,,,2007,2007
Galeomorphii,1,Cephalurus cephalus,California current,,,2007,2007
Galeomorphii,1,Cephalurus cephalus,California current,,,2007,2007
Galeomorphii,1,Cephalurus cephalus,California current,,,207,207
Galeomorphii,1,Cephalurus cephalus,California current,,,2007,2007
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Galeocerdo cuvier,East Australian coast,,,1964-1986,1964
Galeomorphii,1,Heterodontus francisci,Coastal Californian current,,,2011-2015,2011
Galeomorphii,1,Heterodontus francisci,Coastal Californian current,,,2011-2015,2011
Galeomorphii,1,Heterodontus francisci,Coastal Californian current,,,2011-2015,2011
Galeomorphii,1,Heterodontus francisci,Coastal Californian current,,,2011-2015,2011
Galeomorphii,1,Heterodontus francisci,Coastal Californian current,,,2011-2015,2011
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Bythaelurus hispidus,Western India coast,,,2010-2011,2010
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Carcharhinus falciformis,Central American coast,,,2000-2007,2000
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
Galeomorphii,1,Rhizoprionodon lalandii,Brazilian current coast,,,2003-2004,2003
